Time/min,Anhyd,acid ,urea,EDC,I
0,0,47.385,0,,
1.17,13.485,17.865,18.25,14.29,
2.17,15.4725,11.88,22.64,10.42,
3.42,16.935,9.735,25.28,7.77,
5.95,18.045,7.635,28.47,4.97,
8.47,18.285,7.245,30.15,3.37,
10.99,17.7675,6.705,30.86,2.03,
13.5,17.6175,7.38,31.88,1.46,
16.04,17.31,9,32.7,0.94,
18.55,17.1525,9.96,33.33,0.42,
21.07,16.1625,10.755,33.72,0.17,
23.59,15.84,10.905,33.19,0,
26.12,15.9525,11.685,33.64,0,
28.62,15.2925,12.795,33.76,0,
31.15,15.1275,12.975,33.29,0,
38.72,13.9425,15.405,33.41,0,
43.75,13.5225,17.76,33.62,0,
51.32,12.525,18.555,33.5,0,
59.37,11.5725,20.07,34.15,0,
67.37,10.62,22.455,33.93,0,
78.02,10.2675,24.42,33.54,0,
81.27,9.1575,24.03,33.74,0,
251.09,2.745,39.3,34.04,0,
315.57,1.8525,40.95,33.96,0,